単語文書行列（TF-IDF)=
単語	キャリーバッグ   コロナ   ダリア    ドンバーベキュー   ファン   フード   ペット マンション    ワン    中原    事件   二ノ宮    付近    仲間    会社    入山    刑事    動物 北アルプス    友人    吉村    周辺   和歌山   多摩川    大阪    家族    容疑    小川    小杉    尾根   山小屋    岐阜    川崎    態度    新型    時代    東京    松本   槍ケ岳   槍ヶ岳    標高    横浜    殺人   毛並み    民放    水中    水深   河川敷    泰平    洋文    消防    満期    犯人    状態    現場   生き物    田口    田辺    男女    男性    番組    疑い    病院    目標    県境    県警    知事    知人    社員    社長   神奈川    私見    竜一    紀州    署員    考え    自宅    自身    英昭    西尾   覚醒剤    記者    警察    貴章    資産    距離    迷い    通常    部屋    都内    酒類    重点    野崎    金銭    長野    隊員    須藤    駄知    驒乗

文書 6 	  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  5.2189  2.2040  1.6931  0.0000  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  3.3026  2.2040  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  0.0000  0.0000  5.0794  0.0000  0.0000  2.2040  0.0000  0.0000  3.0217  0.0000  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

文書 7 	  0.0000  0.0000  0.0000  0.0000  6.6119  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  1.6931  0.0000  0.0000  0.0000  0.0000  7.6652  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  6.6119  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  3.8326  0.0000  0.0000  0.0000  0.0000  5.0794  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  8.8159  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

文書 8 	  0.0000  0.0000  0.0000  4.4079  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  5.2189  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  8.8159  0.0000  6.6052  0.0000  0.0000  0.0000  0.0000  6.6052  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  3.3026  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  4.4079  3.3026  0.0000  0.0000  6.6119  0.0000  0.0000

文書 9 	  6.6052  0.0000 13.2103  2.2040  0.0000  2.2040  6.6052 36.3284  6.6052  6.6052  0.0000  0.0000  0.0000  0.0000  0.0000  1.6931  0.0000  6.6052  6.6052  0.0000 15.3303  0.0000  2.6094 10.4378  0.0000  0.0000  6.6052 26.4477 19.8155  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  6.6052  6.6052  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  3.3026  0.0000  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  3.3026  0.0000  2.6094  0.0000  0.0000  0.0000  2.6094  0.0000  3.3026  0.0000  4.5325  0.0000  6.6052  0.0000  3.3026  1.9163  0.0000  0.0000  2.2040  3.3026  0.0000  3.3026  3.3026  0.0000  0.0000  5.2189  0.0000 13.2238  0.0000  2.2040  3.3026  6.6052  3.3026  6.6052  6.6052  3.3026  0.0000  2.2040  0.0000  0.0000  0.0000 13.2238  0.0000  0.0000

文書 10 	  0.0000  0.0000  0.0000  2.2040  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  5.2189  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  1.5108  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000

